region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Stockholm,HammarbySjöstad,2,55.5,3733,3670000,3700000,2007,7500
Stockholm,Östermalm,4,99,4293,9350000,8350000,1951,5520
Stockholm,Kungsholmen,2,43,3242,3400000,3250000,1997,6000
Stockholm,Vasastan,2,66,3242,6000000,5495000,1926,5400
Stockholm,Södermalm,1,34,1947,2880000,2595000,1926,6100
Sundbyberg,Hallonbergen,4,95,4287,3100000,2495000,1969,4800
Stockholm,Aspudden,2,52,2809,3200000,2795000,1948,2400
Nacka,Nacka,3,73,4131,3000000,2895000,1948,5300
Nacka,Sickla,1,38,2246,2800000,2695000,1948,3700
Stockholm,Vasastan,1,34,1239,3600000,2995000,1905,3700
Nacka,Saltsjöbaden,1,44,2922,1700000,1495000,1905,3800
Stockholm,Skarpnäck,4,101.5,5944,3340000,2895000,1905,4800
Nacka,Kvarnholmen,3,88.5,4510,5800000,5800000,1898,4800
Stockholm,Högalid,2.5,60,2923,5350000,4550000,1931,8200
Sundbyberg,LillaAlby,1,27,1583,2100000,1995000,1931,8200
Stockholm,Östermalm,2,49,4117,5375000,5395000,2019,8200
Stockholm,Årsta,2,61,3312,3010000,2495000,1947,8200
Stockholm,Enskededalen,2,69,4215,3600000,2995000,1930,5614
Stockholm,Midsommarkransen,1.5,46,2883,2770000,2790000,2019,5614
Solna,Råsunda,4,108,3797,6000000,5795000,1938,7200
Stockholm,Bromma,3,85,4373,4400000,4400000,2011,5500
Stockholm,Skärholmen,2,68,4667,1900000,1495000,1967,2500
Stockholm,Akalla,3,74,4582,2300000,1995000,1975,2500
Stockholm,Spånga,3,75,4407,1840000,1795000,1969,2500
Stockholm,Bromma,1,38,2512,2420000,1825000,1950,1600
Stockholm,Vasastan,3,72,3682,5800000,5495000,1980,1600
Stockholm,Hammarbyhöjden,2,47.5,3985,3050000,2650000,1942,1600
Stockholm,Bromma,2.5,66,3824,3450000,3095000,2011,3100
Stockholm,Abrahamsberg,3,66,4008,4175000,3495000,1938,5400
Stockholm,Kista,4,106,5671,3510000,3590000,2015,5400
Solna,Råsunda,2,50,2792,3200000,3200000,2019,5400
Nacka,Saltsjö,1,40,2761,2250000,1995000,2018,5480
Stockholm,Årsta,4,97,5511,5275000,4575000,2016,5480
Stockholm,Östermalm,2,58,2313,6050000,5495000,1923,3900
Sundbyberg,Rissne,2,47.5,2747,2095000,2095000,2018,3900
Sundbyberg,Ursvik,3,64,3694,3050000,3150000,2014,4000
Stockholm,Vasastan,2,58,2573,5600000,5195000,1913,4000
Stockholm,Akalla,1,49,2116,1700000,1695000,1975,4000
Stockholm,Bromma,3,72.5,4091,4050000,3195000,1918,4800
Stockholm,ÄlvsjöHagsätra,1,36,2128,1600000,1450000,1957,4800
Sundbyberg,Rissne,3,80,4474,2575000,2600000,1980,3960
Stockholm,Stockholm,3,73,3238,7000000,5795000,1927,5400
Stockholm,Vasastan,4,105,1361,11000000,9950000,1914,6000
Solna,VästraSkogen,3,86.5,4292,4200000,3995000,1966,6000
Stockholm,Kungsholmen,3.5,103,3353,10400000,8995000,1929,4000
Stockholm,Kungsholmen,2,66,3277,4700000,4495000,1935,9696
Stockholm,Kungsholmen,1,28,1981,2825000,2495000,1939,5100
Stockholm,Kungsholmen,4,89,4073,8075000,7950000,1883,8400
Stockholm,Stockholm,3,77,1412,8150000,6250000,1883,3000
Stockholm,NorraDjurgårdsstaden,4,89.5,5296,8150000,7750000,2015,3000
Stockholm,Vasastan,1.5,40,2001,3900000,3495000,1896,3000
Stockholm,Vasastan,2,57,2864,5400000,4250000,1924,3000
Solna,CentralaSolna,1,46,2505,2500000,2500000,1924,3000
Stockholm,Kärrtorp,3,69,4370,3900000,3450000,1950,5500
Stockholm,Bromma,3,81.5,4068,3950000,3495000,2010,9000
