region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Stockholm,1241,2,52,2809,3200000,2795000,1948
Nacka,2921,3,73,4131,3000000,2895000,1948
Nacka,1426,1,38,2246,2800000,2695000,1948
Stockholm,576,1,34,1239,3600000,2995000,1905
Nacka,1415,1,44,2922,1700000,1495000,1905
Stockholm,1311,4,101.5,5944,3340000,2895000,1905
Nacka,1588,3,88.5,4510,5800000,5800000,1898
Stockholm,750,2.5,60,2923,5350000,4550000,1931
Sundbyberg,1030,1,27,1583,2100000,1995000,1931
Stockholm,306,2,49,4117,5375000,5395000,2019
Stockholm,994,2,61,3312,3010000,2495000,1947
Stockholm,1601,2,69,4215,3600000,2995000,1930
Stockholm,1272,1.5,46,2883,2770000,2790000,2019
Solna,1330,4,108,3797,6000000,5795000,1938
Stockholm,1660,3,85,4373,4400000,4400000,2011
Stockholm,1972,2,68,4667,1900000,1495000,1967
Stockholm,1625,3,74,4582,2300000,1995000,1975
Stockholm,1602,3,75,4407,1840000,1795000,1969
Stockholm,1905,1,38,2512,2420000,1825000,1950
Stockholm,941,3,72,3682,5800000,5495000,1980
Stockholm,985,2,47.5,3985,3050000,2650000,1942
Stockholm,1943,2.5,66,3824,3450000,3095000,2011
Stockholm,868,2,49,2681,6995000,6995000,1908
Stockholm,1416,3,66,4008,4175000,3495000,1938
Stockholm,1241,4,106,5671,3510000,3590000,2015
Solna,1044,2,50,2792,3200000,3200000,2019
Nacka,2202,1,40,2761,2250000,1995000,2018
Stockholm,1451,4,97,5511,5275000,4575000,2016
Stockholm,409,2,58,2313,6050000,5495000,1923
Sundbyberg,1334,2,47.5,2747,2095000,2095000,2018
Sundbyberg,1943,3,64,3694,3050000,3150000,2014
Stockholm,716,2,58,2573,5600000,5195000,1913
Stockholm,1375,1,49,2116,1700000,1695000,1975
Stockholm,1731,3,72.5,4091,4050000,3195000,1918
Stockholm,1860,1,36,2128,1600000,1450000,1957
Sundbyberg,984,3,80,4474,2575000,2600000,1980
Stockholm,881,3,73,3238,7000000,5795000,1927
Stockholm,485,4,105,1361,11000000,9950000,1914
Solna,892,3,86.5,4292,4200000,3995000,1966
Stockholm,836,3.5,103,3353,10400000,8995000,1929
Stockholm,616,2,66,3277,4700000,4495000,1935
